"Banque","Ville","Code BIC","Code Banque","Code Pays 2c","Code Localité","Code agence"
"CREDIT AGRICOLE CIB","NANTES","BSUIFRPPNAN","BSUI","FR","PP","NAN"
"CREDIT AGRICOLE CIB","PARIS","BSUIFRPPCAP","BSUI","FR","PP","CAP"
"CREDIT AGRICOLE CIB","PARIS","BSUIFRPPDMA","BSUI","FR","PP","DMA"
"CREDIT AGRICOLE CIB","PARIS","BSUIFRPP","BSUI","FR","PP",""
"CREDIT AGRICOLE SA","ANNECY","AGRIFRPPACY","AGRI","FR","PP","ACY"
"CREDIT AGRICOLE SA","AURILLAC","AGRIFRPPAUQ","AGRI","FR","PP","AUQ"
"CREDIT AGRICOLE SA","BERGERAC","AGRIFRPPBEG","AGRI","FR","PP","BEG"
"CREDIT AGRICOLE SA","BOIS GUILLAUME","AGRIFRPPBGU","AGRI","FR","PP","BGU"
"CREDIT AGRICOLE SA","BRUNOY","AGRIFRPPBRY","AGRI","FR","PP","BRY"
"CREDIT AGRICOLE SA","MONTROUGE","AGRIFRPP","AGRI","FR","PP",""
"CREDIT AGRICOLE SA","NIORT","AGRIFRPPNIO","AGRI","FR","PP","NIO"
"CREDIT AGRICOLE SA","ORLEANS","AGRIFRPPORL","AGRI","FR","PP","ORL"
"CREDIT AGRICOLE SA","PAU","AGRIFRPPPAO","AGRI","FR","PP","PAO"
"CREDIT COMMERCIAL DE FRANCE","PARIS","CCFRFRCR","CCFR","FR","CR",""
"CREDIT COMMERCIAL DU SUD-OUEST","MERIGNAC","CCBPFRPP555","CCBP","FR","PP","555"
"CREDIT COOPERATIF","NANTERRE","CCOPFRPPFXD","CCOP","FR","PP","FXD"
"CREDIT COOPERATIF","NANTERRE","CCOPFRCP","CCOP","FR","CP",""
"CREDIT COOPERATIF","NANTERRE","CCOPFRPP","CCOP","FR","PP",""
"CREDIT DU MAROC - SUCCURSALE DE PARIS","PARIS","CDMAFRPX","CDMA","FR","PX",""
"CREDIT DU NORD","LILLE","NORDFRPP","NORD","FR","PP",""
"CREDIT FONCIER DE FRANCE","PARIS","CFFRFRPP","CFFR","FR","PP",""
"CREDIT FONCIER DE FRANCE","PARIS","CFFRFRPPSSS","CFFR","FR","PP","SSS"
"CREDIT LYONNAIS","NANTERRE","CRLYFRPPRMA","CRLY","FR","PP","RMA"
"CREDIT LYONNAIS","PARIS","CRLYFRPPDCM","CRLY","FR","PP","DCM"
"CREDIT LYONNAIS","PARIS","CRLYFRPPDOC","CRLY","FR","PP","DOC"
"CREDIT LYONNAIS","PARIS","CRLYFRPP","CRLY","FR","PP",""
"CREDIT LYONNAIS","PARIS","CRLYFRPPIGA","CRLY","FR","PP","IGA"
"CREDIT LYONNAIS","PARIS","CRLYFRPP726","CRLY","FR","PP","726"
"CREDIT LYONNAIS","PARIS","CRLYFRPP049","CRLY","FR","PP","049"
"CREDIT MUTUEL","LA ROCHE SUR YON","CMCIFR2ACMO","CMCI","FR","2A","CMO"
"CREDIT MUTUEL","LAVAL","CMCIFR2ALAV","CMCI","FR","2A","LAV"
"CREDIT MUTUEL","LILLE","CMCIFR2ABCM","CMCI","FR","2A","BCM"
"CREDIT MUTUEL","LILLE","CMCIFR2ACMN","CMCI","FR","2A","CMN"
"CREDIT MUTUEL","STRASBOURG","CMCIFR2ACEE","CMCI","FR","2A","CEE"
"CREDIT MUTUEL","STRASBOURG","CMCIFR2A","CMCI","FR","2A",""
"CREDIT MUTUEL - CIC BANQUES","LYON","CMCIFRPAGAR","CMCI","FR","PA","GAR"
"CREDIT MUTUEL - CIC BANQUES","PARIS","CMCIFRPA","CMCI","FR","PA",""
"CREDIT MUTUEL - CIC BANQUES","PARIS","CMCIFRPARFT","CMCI","FR","PA","RFT"
"CREDIT MUTUEL - CIC BANQUES","PARIS","CMCIFRPACCM","CMCI","FR","PA","CCM"
"CREDIT MUTUEL - CIC BANQUES","PARIS","CMCIFRPADGE","CMCI","FR","PA","DGE"
"CREDIT MUTUEL - CIC BANQUES","STRASBOURG","CMCIFRPAPOR","CMCI","FR","PA","POR"
"CREDIT MUTUEL - CIC BANQUES","STRASBOURG","CMCIFRPAGMT","CMCI","FR","PA","GMT"
"CREDIT MUTUEL - CIC BANQUES","STRASBOURG","CMCIFRPADOC","CMCI","FR","PA","DOC"
"CREDIT MUTUEL - CIC BANQUES","STRASBOURG","CMCIFRPAPEN","CMCI","FR","PA","PEN"
"CREDIT MUTUEL - CIC BANQUES","STRASBOURG","CMCIFRPACHQ","CMCI","FR","PA","CHQ"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BCME","CMBR","FR","2B","CME"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BEFI","CMBR","FR","2B","EFI"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BARK","CMBR","FR","2B","ARK"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BTIT","CMBR","FR","2B","TIT"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BFIR","CMBR","FR","2B","FIR"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2B","CMBR","FR","2B",""
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BSFH","CMBR","FR","2B","SFH"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BSCF","CMBR","FR","2B","SCF"
"CREDIT MUTUEL ARKEA","BREST","CMBRFR2BDOC","CMBR","FR","2B","DOC"
"CREDIT MUTUEL ARKEA","PARIS","CMBRFR2BPBS","CMBR","FR","2B","PBS"
"CREDIT MUTUEL-CIC BANQUES-CM-CIC SECURITIES","PARIS","CMCIFRPB","CMCI","FR","PB",""
"CREDIT SUISSE (FRANCE), PARIS","PARIS","CRESFRPP","CRES","FR","PP",""
"CREDIT SUISSE AG, PARIS BRANCH","PARIS","CRESFRPZ","CRES","FR","PZ",""
"DANONE S.A.","PARIS","DAFIFRPP","DAFI","FR","PP",""
"DASSAULT SYSTEMES","VELIZY VILLACOUBLAY","DSSAFR22","DSSA","FR","22",""
"DCNS","PARIS","DCNSFRPP","DCNS","FR","PP",""
"DECATHLON SA","VILLENEUVE D'ASCQ","OXYLFR22","OXYL","FR","22",""
"DERICHEBOURG SA","PARIS","DERHFRPP","DERH","FR","PP",""
"DEUTSCHE BANK AG","PARIS","DEUTFRPPSEC","DEUT","FR","PP","SEC"
"DEUTSCHE BANK AG","PARIS","DEUTFRPP","DEUT","FR","PP",""
"DEUTSCHE BANK AG","PARIS","DEUTFRPPSSS","DEUT","FR","PP","SSS"
"DEXIA CREDIT LOCAL","PARIS","CLFRFRCC","CLFR","FR","CC",""
"DEXIA CREDIT LOCAL","PARIS","CLFRFRPP","CLFR","FR","PP",""
"EBI SA","PARIS","ECOCFRPP","ECOC","FR","PP",""
"EBI SA","PARIS","ECOCFRPPBDF","ECOC","FR","PP","BDF"
"EDMOND DE ROTHSCHILD (FRANCE)","PARIS","COFIFRCP","COFI","FR","CP",""
"EDMOND DE ROTHSCHILD (FRANCE)","PARIS","COFIFRPP","COFI","FR","PP",""
"EDMOND DE ROTHSCHILD (FRANCE)","PARIS","COFIFRPPRAM","COFI","FR","PP","RAM"
"EDMOND DE ROTHSCHILD (FRANCE)","PARIS","COFIFRPPRIM","COFI","FR","PP","RIM"
"ELECTRICITE DE FRANCE","PARIS","EDFGFRPP","EDFG","FR","PP",""
"ELECTRICITE DE FRANCE","PARIS","EDFGFRPP001","EDFG","FR","PP","001"
"ELECTRICITE DE FRANCE","PARIS","EDFGFRPPADX","EDFG","FR","PP","ADX"
"ELECTRICITE DE FRANCE","PARIS","EDFGFRPPBBF","EDFG","FR","PP","BBF"
"ELECTRICITE DE FRANCE","PARIS","EDFGFRPPBPC","EDFG","FR","PP","BPC"
"ELECTRICITE DE FRANCE","PARIS","EDFGFRPPSCA","EDFG","FR","PP","SCA"
"ELECTRO BANQUE","COLOMBES","ELBAFRPP","ELBA","FR","PP",""
"ELECTROPOLI CENTER","SAINT GENIS POUILLY","ELPOFR22","ELPO","FR","22",""
"ELIOR TRESORERIE","PARIS","ELTRFRPP","ELTR","FR","PP",""
"ENTREPOSE CONTRACTING","COLOMBES","ENCTFR22","ENCT","FR","22",""
"EPICOM","GAZERAN","EPICFR22","EPIC","FR","22",""
"ERAMET","PARIS","ERAMFRPA","ERAM","FR","PA",""
"ESSILOR INTERNATIONAL","CHARENTON LE PONT","ESITFR2P","ESIT","FR","2P",""
"ETS J SOUFFLET","NOGENT SUR SEINE","SOUFFR22","SOUF","FR","22",""
"EULER HERMES SFAC CREDIT","PARIS","EHSCFR2P","EHSC","FR","2P",""
"EUROCLEAR FRANCE","PARIS","SICVFRPPAF1","SICV","FR","PP","AF1"
"EUROCLEAR FRANCE","PARIS","SICVFRPPAF2","SICV","FR","PP","AF2"
"EUROCLEAR FRANCE","PARIS","SICVFRPPEF1","SICV","FR","PP","EF1"
"EUROCLEAR FRANCE","PARIS","SICVFRPP","SICV","FR","PP",""
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPINT","ESES","FR","PP","INT"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPPFE","ESES","FR","PP","PFE"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPMIG","ESES","FR","PP","MIG"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPT2X","ESES","FR","PP","T2X"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPP","ESES","FR","PP",""
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPFDB","ESES","FR","PP","FDB"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPFTT","ESES","FR","PP","FTT"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPLE1","ESES","FR","PP","LE1"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPLE2","ESES","FR","PP","LE2"
"EUROCLEAR FRANCE SA","PARIS","ESESFRPPVOT","ESES","FR","PP","VOT"
"EURONEXT PARIS S.A.","LYON","XPARFRPP022","XPAR","FR","PP","022"
"EURONEXT PARIS S.A.","PARIS","XPARFRPPINT","XPAR","FR","PP","INT"
"EURONEXT PARIS S.A.","PARIS","XPARFRPPTRS","XPAR","FR","PP","TRS"
"EURONEXT PARIS S.A.","PARIS","XPARFRPP","XPAR","FR","PP",""
"EURONEXT PARIS S.A.","PARIS","XPARFRPPLIS","XPAR","FR","PP","LIS"
"EUROPCAR HOLDING","GUYANCOURT","ECARFR22","ECAR","FR","22",""
"EUROPE ARAB BANK PLC","PARIS","ARABFRPP","ARAB","FR","PP",""
"EUROPEAN FUND ADMINISTRATION FRANCE S.A.S","PARIS","EFALFRPPACC","EFAL","FR","PP","ACC"
"EUROPEAN FUND ADMINISTRATION FRANCE S.A.S","PARIS","EFALFRPPEQY","EFAL","FR","PP","EQY"
"EUROPEAN FUND ADMINISTRATION FRANCE S.A.S","PARIS","EFALFRPP","EFAL","FR","PP",""
"EUROPEAN SPACE AGENCY","PARIS","ESAZFRPP","ESAZ","FR","PP",""
"EXANE DERIVATIVES SNC","PARIS","EXADFRPP","EXAD","FR","PP",""
"EXANE S.A.","PARIS","EXANFRPPSAM","EXAN","FR","PP","SAM"
"EXANE S.A.","PARIS","EXANFRPPSTO","EXAN","FR","PP","STO"
"EXANE S.A.","PARIS","EXANFRPP","EXAN","FR","PP",""
"FACTOBAIL","PARIS","FACIFRPP","FACI","FR","PP",""
"FAIVELEY TRANSPORT SA","SAINT DENIS","LEYTFR22","LEYT","FR","22",""
"FAURECIA","NANTERRE","FAURFRPP","FAUR","FR","PP",""
"FBN BANK UK LTD","PARIS","FBNIFRPP","FBNI","FR","PP",""
"FDI FRANCE","LA MOTTE-SERVOLEX","FDFRFR22","FDFR","FR","22",""
"FINANCIERE BOURBON","MARSEILLE","FGBBFR2M","FGBB","FR","2M",""
"FONCIERES DES REGIONS","METZ","FDREFR22","FDRE","FR","22",""
"FRANSABANK FRANCE S.A.","PARIS","FRAFFRPP","FRAF","FR","PP",""
"FROMAGERIES BEL","PARIS","FBELFRPP","FBEL","FR","PP",""
"GDF SUEZ","PARIS","GSZGFRPP","GSZG","FR","PP",""
"GE CORPORATE FINANCE BANK","PARIS","CRFAFRPP","CRFA","FR","PP",""
"GE FACTOFRANCE","PARIS","FACFFRPP","FACF","FR","PP",""
"GE MONEY BANK SCA","PARIS","MOEYFRPPMON","MOEY","FR","PP","MON"
"GE MONEY BANK SCA","PARIS","MOEYFRPP","MOEY","FR","PP",""
"GEFCO","COURBEVOIE","GFCOFRPP","GFCO","FR","PP",""
"GEMALTO TREASURY SERVICES","MEUDON","GMTOFR22","GMTO","FR","22",""
"GENERALI FRANCE","PARIS","GEFCFRPA","GEFC","FR","PA",""
"GIE AXA FRANCE","PARIS","AXAFFRPP","AXAF","FR","PP",""
"GOLDMAN SACHS PARIS INC. ET CIE","PARIS","GOLDFRPP","GOLD","FR","PP",""
"GROUPAMA ASSET MANAGEMENT","PARIS","GPAMFRPP","GPAM","FR","PP",""
"GROUPAMA BANQUE","MONTREUIL","GPBAFRPP","GPBA","FR","PP",""
"GROUPE ARNAULT","PARIS","GPANFRPP","GPAN","FR","PP",""
"GROUPE AUCHAN","CROIX","AUCHFR22","AUCH","FR","22",""
"GROUPE HENNER","PARIS","HENNFRPP","HENN","FR","PP",""
"GROUPE STERIA SCA","ISSY LES MOULINEAUX","STERFR22","STER","FR","22",""
"GUY DAUPHIN ENVIRONNEMENT","ROCQUANCOURT","ECORFR22","ECOR","FR","22",""
"HABIB BANK LIMITED","PARIS","HABBFRPP","HABB","FR","PP",""
"HERMES INTERNATIONAL","PARIS","HRMSFRPP","HRMS","FR","PP",""
"HSBC BANK PLC","PARIS","MIDLFRCP","MIDL","FR","CP",""
"HSBC BANK PLC","PARIS","MIDLFRCP111","MIDL","FR","CP","111"
"HSBC BANK PLC","PARIS","MIDLFRCP222","MIDL","FR","CP","222"
"HSBC BANK PLC","PARIS","MIDLFRPX","MIDL","FR","PX",""
"HSBC FRANCE (FORMERLY HSBC CCF)","ARRAS","CCFRFRPP330","CCFR","FR","PP","330"
"HSBC FRANCE (FORMERLY HSBC CCF)","BORDEAUX","CCFRFRPP120","CCFR","FR","PP","120"
"HSBC FRANCE (FORMERLY HSBC CCF)","CANNES","CCFRFRPP222","CCFR","FR","PP","222"
"HSBC FRANCE (FORMERLY HSBC CCF)","DIJON","CCFRFRPP320","CCFR","FR","PP","320"
"HSBC FRANCE (FORMERLY HSBC CCF)","GRASSE","CCFRFRPP224","CCFR","FR","PP","224"
"HSBC FRANCE (FORMERLY HSBC CCF)","GRENOBLE","CCFRFRPP280","CCFR","FR","PP","280"
"HSBC FRANCE (FORMERLY HSBC CCF)","LE HAVRE","CCFRFRPP140","CCFR","FR","PP","140"
"HSBC FRANCE (FORMERLY HSBC CCF)","LILLE","CCFRFRPP150","CCFR","FR","PP","150"
"HSBC FRANCE (FORMERLY HSBC CCF)","LYON","CCFRFRPP170","CCFR","FR","PP","170"
"HSBC FRANCE (FORMERLY HSBC CCF)","MARSEILLE","CCFRFRPP209","CCFR","FR","PP","209"
"HSBC FRANCE (FORMERLY HSBC CCF)","MULHOUSE","CCFRFRPP210","CCFR","FR","PP","210"
"HSBC FRANCE (FORMERLY HSBC CCF)","NANCY","CCFRFRPP310","CCFR","FR","PP","310"
"HSBC FRANCE (FORMERLY HSBC CCF)","NICE","CCFRFRPP220","CCFR","FR","PP","220"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPP030","CCFR","FR","PP","030"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPP024","CCFR","FR","PP","024"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPPNTX","CCFR","FR","PP","NTX"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPPSWT","CCFR","FR","PP","SWT"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPPSDD","CCFR","FR","PP","SDD"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPP040","CCFR","FR","PP","040"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPP050","CCFR","FR","PP","050"
"HSBC FRANCE (FORMERLY HSBC CCF)","PARIS","CCFRFRPP","CCFR","FR","PP",""
"HSBC FRANCE (FORMERLY HSBC CCF)","ROUBAIX","CCFRFRPP151","CCFR","FR","PP","151"
"HSBC FRANCE (FORMERLY HSBC CCF)","RUNGIS","CCFRFRPP089","CCFR","FR","PP","089"
"HSBC FRANCE (FORMERLY HSBC CCF)","STRASBOURG","CCFRFRPP260","CCFR","FR","PP","260"
"HSBC FRANCE (FORMERLY HSBC CCF)","TOURCOING","CCFRFRPP152","CCFR","FR","PP","152"
"HSBC GLOBAL ASSET MANAGEMENT FRANCE (FORMERLY HSBC ASSET MANAGEMENT (EUROPE) SA","PUTEAUX","HAMFFRPP","HAMF","FR","PP",""
"HSBC GLOBAL ASSET MANAGEMENT FRANCE (FORMERLY SINOPIA ASSET MANAGEMENT)","PARIS","SAMFFRPP","SAMF","FR","PP",""
"IMERYS SA","PARIS","IMERFRPP","IMER","FR","PP",""
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA PARIS BRANCH","PARIS","ICBKFRPP","ICBK","FR","PP",""
"ING BANK FRANCE COMMERCIAL BANKING","PARIS","INGBFRPP","INGB","FR","PP",""
"INGENICO","PARIS","IGENFR22","IGEN","FR","22",""
"INTER EUROPE CONSEIL","PARIS","INELFRPP","INEL","FR","PP",""
"INTER PARFUMS S.A","PARIS","IPARFRPP","IPAR","FR","PP",""
"INTERPOL SERVICE FINANCIER","LYON","ICPOFR22","ICPO","FR","22",""
"INTESA SANPAOLO SPA","PARIS","BCITFRPP","BCIT","FR","PP",""
"INVESCO GESTION","PARIS","INVZFRPPIPE","INVZ","FR","PP","IPE"
"INVESCO GESTION","PARIS","INVZFRPPMDO","INVZ","FR","PP","MDO"
"INVESCO GESTION","PARIS","INVZFRPP","INVZ","FR","PP",""
"INVESCO GESTION","PARIS","INVZFRPPIHK","INVZ","FR","PP","IHK"
"INVESCO GESTION","PARIS","INVZFRPPTRI","INVZ","FR","PP","TRI"
"IPSEN","PARIS","IPSNFRPP","IPSN","FR","PP",""
"IPSOS","PARIS","IPSOFRPP","IPSO","FR","PP",""
"ISBANK AG","PARIS","ISBKFRPP","ISBK","FR","PP",""
"IT-CE","PARIS","TTCEFRPP","TTCE","FR","PP",""
"IXIS ASSET MANAGEMENT","PARIS","IXIAFRPP","IXIA","FR","PP",""
"JC DECAUX SA","NEUILLY SUR SEINE","JCDXFR22","JCDX","FR","22",""
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPPGMO","CHAS","FR","PP","GMO"
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPPIPB","CHAS","FR","PP","IPB"
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPPPCG","CHAS","FR","PP","PCG"
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPPENQ","CHAS","FR","PP","ENQ"
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPPKEY","CHAS","FR","PP","KEY"
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPB","CHAS","FR","PB",""
"JPMORGAN CHASE BANK, N.A.","PARIS","CHASFRPP","CHAS","FR","PP",""
"KBC BANK NV PARIS","PARIS","KREDFRPP","KRED","FR","PP",""
"KBC BANK NV PARIS","PARIS","KREDFRPP416","KRED","FR","PP","416"
"KBL RICHELIEU BANQUE PRIVEE","PARIS","KBLXFRPP","KBLX","FR","PP",""
"KEPLER CAPITAL MARKETS","PARIS","JBBRFRPP","JBBR","FR","PP",""
"KERING FINANCE (FORMERLY PPR FINANCE)","PARIS","PPRFFRPP","PPRF","FR","PP",""
"KLEPIERRE MANAGEMENT","PARIS","KLPIFRPP","KLPI","FR","PP",""
"KOREA EXCHANGE BANK","PARIS","KOEXFRPP","KOEX","FR","PP",""
"KYRIBA SAS","PARIS","KYRIFRPP","KYRI","FR","PP",""
"LA BANQUE POSTALE","AJACCIO","PSSTFRPPAJA","PSST","FR","PP","AJA"
"LA BANQUE POSTALE","BORDEAUX","PSSTFRPPBOR","PSST","FR","PP","BOR"
"LA BANQUE POSTALE","CHALONS EN CHAMPAGNE","PSSTFRPPCHA","PSST","FR","PP","CHA"
"LA BANQUE POSTALE","CLERMONT FERRAND","PSSTFRPPCLE","PSST","FR","PP","CLE"
"LA BANQUE POSTALE","DIJON","PSSTFRPPDIJ","PSST","FR","PP","DIJ"
"LA BANQUE POSTALE","GRENOBLE","PSSTFRPPGRE","PSST","FR","PP","GRE"
"LA BANQUE POSTALE","LILLE","PSSTFRPPLIL","PSST","FR","PP","LIL"
"LA BANQUE POSTALE","LIMOGES","PSSTFRPPLIM","PSST","FR","PP","LIM"
"LA BANQUE POSTALE","LYON","PSSTFRPPLYO","PSST","FR","PP","LYO"
"LA BANQUE POSTALE","MARSEILLE","PSSTFRPPMAR","PSST","FR","PP","MAR"
"LA BANQUE POSTALE","MONTPELLIER","PSSTFRPPMON","PSST","FR","PP","MON"
"LA BANQUE POSTALE","NANCY","PSSTFRPPNCY","PSST","FR","PP","NCY"
"LA BANQUE POSTALE","NANTES","PSSTFRPPNTE","PSST","FR","PP","NTE"
"LA BANQUE POSTALE","ORLEANS","PSSTFRPPSCE","PSST","FR","PP","SCE"
"LA BANQUE POSTALE","PARIS","PSSTFRPPCNE","PSST","FR","PP","CNE"
"LA BANQUE POSTALE","PARIS","PSSTFRPPBTE","PSST","FR","PP","BTE"
"LA BANQUE POSTALE","PARIS","PSSTFRPPCAY","PSST","FR","PP","CAY"
"LA BANQUE POSTALE","PARIS","PSSTFRPPFDF","PSST","FR","PP","FDF"
"LA BANQUE POSTALE","PARIS","PSSTFRPPPAR","PSST","FR","PP","PAR"
"LA BANQUE POSTALE","PARIS","PSSTFRPPSDR","PSST","FR","PP","SDR"
"LA BANQUE POSTALE","PARIS","PSSTFRPPTRE","PSST","FR","PP","TRE"
"LA BANQUE POSTALE","PARIS","PSSTFRPP","PSST","FR","PP",""
"LA BANQUE POSTALE","PARIS","PSSTFRPPCCB","PSST","FR","PP","CCB"
"LA BANQUE POSTALE","RENNES","PSSTFRPPREN","PSST","FR","PP","REN"
"LA BANQUE POSTALE","ROUEN","PSSTFRPPROU","PSST","FR","PP","ROU"
"LA BANQUE POSTALE","STRASBOURG","PSSTFRPPSTR","PSST","FR","PP","STR"
"LA BANQUE POSTALE","TOULOUSE","PSSTFRPPTOU","PSST","FR","PP","TOU"
"LA BANQUE POSTALE ASSET MANAGEMENT","PARIS","LBGAFRPP","LBGA","FR","PP",""
"LA BANQUE POSTALE HOME LOAN SFH","PARIS","HLBPFRPP","HLBP","FR","PP",""
"LABCO GESTION GIE","PARIS","LAGEFRPP","LAGE","FR","PP",""
"LAFARGE SA","PARIS","LAFAFRPP","LAFA","FR","PP",""
"LAGARDERE UNLIMITED","BOULOGNE BILLANCOURT","LGSPFRPP","LGSP","FR","PP",""
"LAMINES MARCHANDS EUROPEENS","TRITH SAINT LEGER","LMEFFR22","LMEF","FR","22",""
"LAZARD FRERES BANQUE","PARIS","LAZPFRCC","LAZP","FR","CC",""
"LAZARD FRERES BANQUE","PARIS","LAZPFRPP","LAZP","FR","PP",""
"LAZARD FRERES GESTION","PARIS","LAFGFRPP","LAFG","FR","PP",""
"LEGRAND FRANCE SA","LIMOGES","LEGDFR2L","LEGD","FR","2L",""
"LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA","PARIS","LOCYFRPPNDP","LOCY","FR","PP","NDP"
"LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA","PARIS","LOCYFRPP","LOCY","FR","PP",""
"L'OREAL","CLICHY","LORHFRPP","LORH","FR","PP",""
"LOUIS DREYFUS ARMATEURS","SURESNES","LDARFR22","LDAR","FR","22",""
"LOXAM HOLDING","LORIENT","LOXAFR2X","LOXA","FR","2X",""
"LUDENDO ENTREPRISES","MARNE LA VALLEE","LUDDFR22","LUDD","FR","22",""
"LVMH - MOET HENNESSY LOUIS VUITTON","PARIS","LVMHFRPP","LVMH","FR","PP",""
"LYRECO SAS","MARLY","LYREFR22","LYRE","FR","22",""
"LYXOR ASSET MANAGEMENT","PARIS","LAMXFRPP","LAMX","FR","PP",""
"LYXOR INTERNATIONAL ASSET MANAGEMENT","PARIS","LIMXFRPP","LIMX","FR","PP",""
"MAJ","PANTIN","ELISFR22","ELIS","FR","22",""
"MAUBOUSSIN","PARIS","MAUBFRPP","MAUB","FR","PP",""
"MCBRIDE SAS","LEVALLOIS PERRET","MCBRFRPP","MCBR","FR","PP",""
"MEGA INTERNATIONAL COMMERCIAL BANK CO. LTD.","PARIS","ICBCFRPP","ICBC","FR","PP",""
"MERCEDES-BENZ FINANCIAL SERVICES","BAILLY","DFSDFR22","DFSD","FR","22",""
"METROPOLE GESTION","PARIS","METGFRP2","METG","FR","P2",""
"MIRABAUD FRANCE SA","PARIS","MIRAFRPP","MIRA","FR","PP",""
"MIZUHO BANK, LTD. PARIS BRANCH","PARIS","MHCBFRPPTGT","MHCB","FR","PP","TGT"
"MIZUHO BANK, LTD. PARIS BRANCH","PARIS","MHCBFRPP","MHCB","FR","PP",""
"MOBILIS","ROUBAIX","MOISFR22","MOIS","FR","22",""
"MOBILIS BANQUE","ROUBAIX","MOBQFR22","MOBQ","FR","22",""
"MOBILIS GESTION","ROUBAIX","MOBGFR22","MOBG","FR","22",""
"MOBSAT","PARIS","VIZAFRPP","VIZA","FR","PP",""
"MONTE PASCHI BANQUE S.A.","PARIS","MONTFRPP","MONT","FR","PP",""
"MORGAN STANLEY AND CO INTERNATIONAL PLC SUCCURSALE DE PARIS","PARIS","MSFRFRCP","MSFR","FR","CP",""
"MPO INTERNATIONAL","AVERTON","MPOGFR22","MPOG","FR","22",""
"MTS FRANCE SAS","PARIS","FMTSFRPP","FMTS","FR","PP",""
"NATIONAL BANK OF ABU DHABI","PARIS","NBADFRPPBDF","NBAD","FR","PP","BDF"
"NATIONAL BANK OF ABU DHABI","PARIS","NBADFRPPTFO","NBAD","FR","PP","TFO"
"NATIONAL BANK OF ABU DHABI","PARIS","NBADFRPP","NBAD","FR","PP",""
"NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC, PARIS BRANCH","PARIS","NBOKFRPP","NBOK","FR","PP",""
"NATIONAL BANK OF PAKISTAN","PARIS","NBPAFRPP","NBPA","FR","PP",""
"NATIXIS","PARIS","NATXFRPPDBO","NATX","FR","PP","DBO"
"NATIXIS","PARIS","NATXFRPPDFG","NATX","FR","PP","DFG"
"NATIXIS","PARIS","NATXFRPPMAR","NATX","FR","PP","MAR"
"NATIXIS","PARIS","NATXFRPPBPS","NATX","FR","PP","BPS"
"NATIXIS","PARIS","NATXFRPPTIT","NATX","FR","PP","TIT"
"NATIXIS","PARIS","NATXFRPPFMP","NATX","FR","PP","FMP"
"NATIXIS","PARIS","NATXFRPPPAI","NATX","FR","PP","PAI"
"NATIXIS","PARIS","NATXFRPP","NATX","FR","PP",""
"NATIXIS GLOBAL ASSET MANAGEMENT SA","PARIS","NGAAFRPP","NGAA","FR","PP",""
"NATIXIS SECURITIES","PARIS","IXIRFRPP","IXIR","FR","PP",""
"NATUREX","AVIGNON","NTRXFR2A","NTRX","FR","2A",""
"OBERTHUR TECHNOLOGIES","LEVALLOIS PERRET","OTSAFRPP","OTSA","FR","PP",""
"ODDO ET CIE","PARIS","ODDOFRPA","ODDO","FR","PA",""
"ODDO ET CIE","PARIS","ODDOFRPPBKO","ODDO","FR","PP","BKO"
"ODDO ET CIE","PARIS","ODDOFRPPFEC","ODDO","FR","PP","FEC"
"ODDO ET CIE","PARIS","ODDOFRPPOAM","ODDO","FR","PP","OAM"
